experiment,variant,seed,target_lf,batch,operations,load_factor,size,avg_lookup_ns,avg_insert_ns,avg_delete_ns,tombstones,avg_probe,max_probe,avg_chain,max_chain,failed_inserts
exp2,RH,42,0.8,15,150000,0.8000383377075195,838901,2328.5496863536537,5932.567136672636,2301.166726586719,36676,2.408751449813506,26,0.0,0,0
exp2,RH,42,0.8,16,160000,0.8000459671020508,838909,2372.449525864795,6033.867131918669,2349.0669361005225,38712,2.432118382327523,26,0.0,0,0
exp2,RH,42,0.8,17,170000,0.8000526428222656,838916,2280.8259236626327,5823.266537239155,2272.8999610990286,40697,2.4553697867247735,26,0.0,0,0
exp2,RH,42,0.8,18,180000,0.8000602722167969,838924,2610.250288853422,6470.199751978119,2542.065999781092,42675,2.478365143922453,26,0.0,0,0
exp2,RH,42,0.8,19,190000,0.8000783920288086,838943,2350.3253469243646,5799.1675566881895,2318.8976338133216,44616,2.500629959365535,26,0.0,0,0
exp2,RH,42,0.8,20,200000,0.8000907897949219,838956,2354.4511350337416,5819.566509065528,2354.733180254698,46559,2.5225613738980353,26,0.0,0,0
exp2,RH,42,0.8,21,210000,0.8001003265380859,838966,2859.249652829021,6924.499990418553,2624.3670533100762,48410,2.5460709969176345,26,0.0,0,0
exp2,RH,42,0.8,22,220000,0.8001165390014648,838983,2321.6999252326787,5661.566353713472,2278.167211140196,50266,2.5683655091938693,26,0.0,0,0
exp2,RH,42,0.8,23,230000,0.8001384735107422,839006,2459.525450831279,5957.1002299586935,2394.4673206036287,52075,2.5901721799367348,26,0.0,0,0
exp2,RH,42,0.8,24,240000,0.8001585006713867,839027,2395.1741168275476,5979.465514731904,2362.1341679245234,53832,2.6122079503996893,26,0.0,0,0
exp2,RH,42,0.8,25,250000,0.8001718521118164,839041,2398.550452198833,5774.933068702619,2393.099518182377,55586,2.6333766764675386,26,0.0,0,0
exp2,RH,42,0.8,26,260000,0.8001852035522461,839055,2360.8748451806605,5598.165638123949,2327.5676649063826,57314,2.654053667518816,26,0.0,0,0
